image_id,label
200001.jpg,normal
200002.jpg,normal
200003.jpg,hispa
200004.jpg,tungro
200005.jpg,blast
200006.jpg,hispa
200007.jpg,dead_heart
200008.jpg,normal
200009.jpg,hispa
200010.jpg,bacterial_leaf_blight
200011.jpg,dead_heart
200012.jpg,hispa
200013.jpg,normal
200014.jpg,dead_heart
200015.jpg,normal
200016.jpg,blast
200017.jpg,tungro
200018.jpg,hispa
200019.jpg,dead_heart
200020.jpg,dead_heart
200021.jpg,hispa
200022.jpg,normal
200023.jpg,bacterial_leaf_blight
200024.jpg,blast
200025.jpg,hispa
200026.jpg,tungro
200027.jpg,blast
200028.jpg,brown_spot
200029.jpg,dead_heart
200030.jpg,hispa
200031.jpg,hispa
200032.jpg,dead_heart
200033.jpg,tungro
200034.jpg,blast
200035.jpg,dead_heart
200036.jpg,hispa
200037.jpg,brown_spot
200038.jpg,tungro
200039.jpg,dead_heart
200040.jpg,bacterial_leaf_blight
200041.jpg,bacterial_leaf_blight
200042.jpg,hispa
200043.jpg,normal
200044.jpg,hispa
200045.jpg,tungro
200046.jpg,bacterial_leaf_blight
200047.jpg,brown_spot
200048.jpg,bacterial_leaf_blight
200049.jpg,blast
200050.jpg,dead_heart
200051.jpg,blast
200052.jpg,tungro
200053.jpg,bacterial_leaf_blight
200054.jpg,normal
200055.jpg,hispa
200056.jpg,normal
200057.jpg,hispa
200058.jpg,tungro
200059.jpg,normal
200060.jpg,hispa
200061.jpg,dead_heart
200062.jpg,dead_heart
200063.jpg,brown_spot
200064.jpg,tungro
200065.jpg,tungro
200066.jpg,tungro
200067.jpg,dead_heart
200068.jpg,blast
200069.jpg,dead_heart
200070.jpg,dead_heart
200071.jpg,brown_spot
200072.jpg,hispa
200073.jpg,downy_mildew
200074.jpg,blast
200075.jpg,dead_heart
200076.jpg,blast
200077.jpg,bacterial_leaf_blight
200078.jpg,bacterial_leaf_blight
200079.jpg,tungro
200080.jpg,bacterial_panicle_blight
200081.jpg,dead_heart
200082.jpg,dead_heart
200083.jpg,bacterial_panicle_blight
200084.jpg,dead_heart
200085.jpg,tungro
200086.jpg,downy_mildew
200087.jpg,dead_heart
200088.jpg,bacterial_leaf_blight
200089.jpg,tungro
200090.jpg,tungro
200091.jpg,hispa
200092.jpg,hispa
200093.jpg,hispa
200094.jpg,normal
200095.jpg,hispa
200096.jpg,tungro
200097.jpg,bacterial_leaf_blight
200098.jpg,tungro
200099.jpg,dead_heart
200100.jpg,bacterial_leaf_blight
200101.jpg,hispa
200102.jpg,hispa
200103.jpg,hispa
200104.jpg,hispa
200105.jpg,normal
200106.jpg,blast
200107.jpg,hispa
200108.jpg,tungro
200109.jpg,tungro
200110.jpg,blast
200111.jpg,hispa
200112.jpg,blast
200113.jpg,normal
200114.jpg,hispa
200115.jpg,dead_heart
200116.jpg,hispa
200117.jpg,normal
200118.jpg,dead_heart
200119.jpg,brown_spot
200120.jpg,normal
200121.jpg,dead_heart
200122.jpg,normal
200123.jpg,dead_heart
200124.jpg,blast
200125.jpg,blast
200126.jpg,hispa
200127.jpg,normal
200128.jpg,dead_heart
200129.jpg,blast
200130.jpg,hispa
200131.jpg,brown_spot
200132.jpg,normal
200133.jpg,normal
200134.jpg,normal
200135.jpg,downy_mildew
200136.jpg,hispa
200137.jpg,bacterial_leaf_streak
200138.jpg,brown_spot
200139.jpg,blast
200140.jpg,tungro
200141.jpg,blast
200142.jpg,bacterial_leaf_blight
200143.jpg,blast
200144.jpg,blast
200145.jpg,normal
200146.jpg,dead_heart
200147.jpg,dead_heart
200148.jpg,hispa
200149.jpg,dead_heart
200150.jpg,dead_heart
200151.jpg,hispa
200152.jpg,brown_spot
200153.jpg,downy_mildew
200154.jpg,dead_heart
200155.jpg,dead_heart
200156.jpg,bacterial_panicle_blight
200157.jpg,brown_spot
200158.jpg,tungro
200159.jpg,normal
200160.jpg,bacterial_leaf_blight
200161.jpg,tungro
200162.jpg,hispa
200163.jpg,dead_heart
200164.jpg,bacterial_panicle_blight
200165.jpg,hispa
200166.jpg,dead_heart
200167.jpg,blast
200168.jpg,tungro
200169.jpg,tungro
200170.jpg,brown_spot
200171.jpg,dead_heart
200172.jpg,blast
200173.jpg,normal
200174.jpg,hispa
200175.jpg,dead_heart
200176.jpg,hispa
200177.jpg,bacterial_leaf_blight
200178.jpg,blast
200179.jpg,blast
200180.jpg,bacterial_leaf_blight
200181.jpg,bacterial_leaf_streak
200182.jpg,bacterial_leaf_blight
200183.jpg,normal
200184.jpg,blast
200185.jpg,dead_heart
200186.jpg,blast
200187.jpg,hispa
200188.jpg,blast
200189.jpg,dead_heart
200190.jpg,bacterial_leaf_blight
200191.jpg,normal
200192.jpg,hispa
200193.jpg,normal
200194.jpg,brown_spot
200195.jpg,hispa
200196.jpg,blast
200197.jpg,normal
200198.jpg,blast
200199.jpg,tungro
200200.jpg,dead_heart
200201.jpg,tungro
200202.jpg,hispa
200203.jpg,bacterial_panicle_blight
200204.jpg,downy_mildew
200205.jpg,blast
200206.jpg,normal
200207.jpg,bacterial_leaf_streak
200208.jpg,hispa
200209.jpg,hispa
200210.jpg,tungro
200211.jpg,bacterial_leaf_blight
200212.jpg,tungro
200213.jpg,normal
200214.jpg,brown_spot
200215.jpg,hispa
200216.jpg,hispa
200217.jpg,dead_heart
200218.jpg,blast
200219.jpg,brown_spot
200220.jpg,bacterial_leaf_blight
200221.jpg,dead_heart
200222.jpg,hispa
200223.jpg,blast
200224.jpg,normal
200225.jpg,hispa
200226.jpg,blast
200227.jpg,dead_heart
200228.jpg,blast
200229.jpg,tungro
200230.jpg,downy_mildew
200231.jpg,brown_spot
200232.jpg,normal
200233.jpg,brown_spot
200234.jpg,blast
200235.jpg,tungro
200236.jpg,dead_heart
200237.jpg,brown_spot
200238.jpg,blast
200239.jpg,hispa
200240.jpg,brown_spot
200241.jpg,hispa
200242.jpg,normal
200243.jpg,tungro
200244.jpg,hispa
200245.jpg,hispa
200246.jpg,hispa
200247.jpg,blast
200248.jpg,normal
200249.jpg,blast
200250.jpg,blast
200251.jpg,bacterial_leaf_blight
200252.jpg,brown_spot
200253.jpg,brown_spot
200254.jpg,dead_heart
200255.jpg,brown_spot
200256.jpg,dead_heart
200257.jpg,blast
200258.jpg,hispa
200259.jpg,dead_heart
200260.jpg,hispa
200261.jpg,brown_spot
200262.jpg,bacterial_leaf_streak
200263.jpg,tungro
200264.jpg,tungro
200265.jpg,normal
200266.jpg,blast
200267.jpg,tungro
200268.jpg,hispa
200269.jpg,hispa
200270.jpg,blast
200271.jpg,tungro
200272.jpg,bacterial_leaf_streak
200273.jpg,normal
200274.jpg,bacterial_leaf_blight
200275.jpg,normal
200276.jpg,bacterial_panicle_blight
200277.jpg,normal
200278.jpg,dead_heart
200279.jpg,bacterial_panicle_blight
200280.jpg,hispa
200281.jpg,brown_spot
200282.jpg,normal
200283.jpg,hispa
200284.jpg,normal
200285.jpg,brown_spot
200286.jpg,normal
200287.jpg,bacterial_panicle_blight
200288.jpg,normal
200289.jpg,blast
200290.jpg,normal
200291.jpg,brown_spot
200292.jpg,hispa
200293.jpg,normal
200294.jpg,hispa
200295.jpg,tungro
200296.jpg,normal
200297.jpg,hispa
200298.jpg,hispa
200299.jpg,normal
200300.jpg,blast
200301.jpg,tungro
200302.jpg,downy_mildew
200303.jpg,tungro
200304.jpg,hispa
200305.jpg,dead_heart
200306.jpg,blast
200307.jpg,blast
200308.jpg,normal
200309.jpg,bacterial_panicle_blight
200310.jpg,tungro
200311.jpg,normal
200312.jpg,normal
200313.jpg,normal
200314.jpg,hispa
200315.jpg,brown_spot
200316.jpg,brown_spot
200317.jpg,hispa
200318.jpg,dead_heart
200319.jpg,normal
200320.jpg,hispa
200321.jpg,hispa
200322.jpg,bacterial_leaf_blight
200323.jpg,normal
200324.jpg,normal
200325.jpg,tungro
200326.jpg,blast
200327.jpg,bacterial_panicle_blight
200328.jpg,hispa
200329.jpg,dead_heart
200330.jpg,blast
200331.jpg,dead_heart
200332.jpg,dead_heart
200333.jpg,hispa
200334.jpg,brown_spot
200335.jpg,downy_mildew
200336.jpg,brown_spot
200337.jpg,normal
200338.jpg,downy_mildew
200339.jpg,dead_heart
200340.jpg,dead_heart
